ADDR_KEY,ADDR_DENSITY
"2100 LAKESIDE AVE , CLEVELAND, OH 44114",1053
"595 VAN BUREN DR , COLUMBUS, OH 43223",654
"1400 BRUSH ROW RD , WILBERFORCE, OH 45384",435
"924 E MAIN ST , COLUMBUS, OH 43205",361
"2227 PAYNE AVE , CLEVELAND, OH 44114",323
"121 ELM ST , OBERLIN, OH 44074",303
"1037 PARSONS AVE , COLUMBUS, OH 43206",281
"95 UNION ST , OBERLIN, OH 44074",263
"411 GEST ST , CINCINNATI, OH 45203",255
"175 E MARKET ST , AKRON, OH 44308",245
"176 N PROFESSOR ST , OBERLIN, OH 44074",238
"120 W APPLE ST , DAYTON, OH 45402",234
"1220 CORRUGATED WAY , COLUMBUS, OH 43201",223
"1921 S GETTYSBURG AVE , DAYTON, OH 45417",214
"194 N PROFESSOR ST , OBERLIN, OH 44074",214
"140 W COLLEGE ST , OBERLIN, OH 44074",201
"1755 ALUM CREEK DR , COLUMBUS, OH 43207",199
"1629 REPUBLIC ST , CINCINNATI, OH 45202",196
"251 N MAIN ST , CEDARVILLE, OH 45314",188
"1710 PROSPECT AVE , CLEVELAND, OH 44115",176
"217 N GRANT AVE , COLUMBUS, OH 43215",163
"145 WOODLAND ST , OBERLIN, OH 44074",161
"3416 COLUMBUS AVE , SANDUSKY, OH 44870",154
"19100 E SHELBY RD , NEW KNOXVILLE, OH 45871",154
"1501 MONROE ST , TOLEDO, OH 43604",151
"169 N PROFESSOR ST , OBERLIN, OH 44074",150
"13000 AUBURN RD , CHARDON, OH 44024",140
"1101 SUMMIT RD , CINCINNATI, OH 45237",138
"400 EAST LOOP , GRANVILLE, OH 43023",123
"5310 CARNEGIE AVE , CLEVELAND, OH 44103",122
"1055 N BICKETT RD , WILBERFORCE, OH 45384",120
"150 CROSS ST , AKRON, OH 44311",118
"300 COLLEGE PARK AVE , DAYTON, OH 45469",117
"2 S PROFESSOR ST , OBERLIN, OH 44074",115
"80 W ELEVENTH AVE , COLUMBUS, OH 43210",115
"117 E 12TH ST , CINCINNATI, OH 45202",113
"3135 LORAIN AVE , CLEVELAND, OH 44113",111
"245 N GRANT AVE , COLUMBUS, OH 43215",111
"1000 WEST LOOP , GRANVILLE, OH 43023",111
"167 WOODLAND ST , OBERLIN, OH 44074",109
"115 W MCMICKEN AVE , CINCINNATI, OH 45202",107
"27100 CEDAR RD , BEACHWOOD, OH 44122",107
"750 CHESTNUT ST , GREENVILLE, OH 45331",106
"5520 BROADVIEW RD , PARMA, OH 44134",105
"2200 W BROAD ST , COLUMBUS, OH 43223",103
"217 N ACLAND ST , GAMBIER, OH 43022",103
"255 FRONT ST , BEREA, OH 44017",99
"202 GASKIN AVE , GAMBIER, OH 43022",99
"721 HICKORY ST , AKRON, OH 44303",98
"120 W ELEVENTH AVE , COLUMBUS, OH 43210",98
